month,buyer_id,selected_vendor,purchase_quantity,min_quality_score
0,isp1,vendor2,29383,0.7
0,isp2,vendor2,23300,0.7
0,isp3,vendor2,17321,0.7
0,isp4,vendor2,293,0.7
0,isp5,vendor2,352,0.7
0,isp6,vendor2,470,0.7
0,isp7,vendor2,174,0.7
0,isp8,vendor2,524,0.7
0,isp9,vendor2,407,0.7
0,isp10,vendor2,346,0.7
0,isp11,vendor2,317,0.7
0,isp12,vendor2,548,0.7
1,isp1,vendor2,9226,0.7
1,isp2,vendor2,7252,0.7
1,isp3,vendor2,5343,0.7
1,isp4,vendor2,92,0.7
1,isp5,vendor2,111,0.7
1,isp6,vendor2,147,0.7
1,isp7,vendor2,54,0.7
1,isp8,vendor2,163,0.7
1,isp9,vendor2,127,0.7
1,isp10,vendor2,107,0.7
1,isp11,vendor2,98,0.7
1,isp12,vendor2,169,0.7
2,isp1,vendor2,6784,0.7
2,isp2,vendor2,5312,0.7
2,isp3,vendor2,3899,0.7
2,isp4,vendor2,68,0.7
2,isp5,vendor2,81,0.7
2,isp6,vendor2,109,0.7
2,isp7,vendor2,40,0.7
2,isp8,vendor2,119,0.7
2,isp9,vendor2,93,0.7
2,isp10,vendor2,78,0.7
2,isp11,vendor2,71,0.7
2,isp12,vendor2,123,0.7
3,isp1,vendor2,7513,0.7
3,isp2,vendor2,5875,0.7
3,isp3,vendor2,4306,0.7
3,isp4,vendor2,75,0.7
3,isp5,vendor2,90,0.7
3,isp6,vendor2,120,0.7
3,isp7,vendor2,44,0.7
3,isp8,vendor2,132,0.7
3,isp9,vendor2,103,0.7
3,isp10,vendor2,86,0.7
3,isp11,vendor2,79,0.7
3,isp12,vendor2,137,0.7
