month,vendor_id,rd_investment,marketing_investment,onu_price,quantity_sold
0,vendor1,25000,14000,90.0,589
0,vendor2,84000,60000,180.0,29469
1,vendor1,21100,10880,81.0,273
1,vendor2,69600,48480,171.0,9280
2,vendor1,19138,10000,76.95,290
2,vendor2,200000,159267,162.45,6832
3,vendor1,16687,10000,73.1025,389
3,vendor2,200000,162040,154.3275,7570
4,vendor1,14399,10000,69.44737500000001,546
4,vendor2,198799,151839,146.611125,9137
5,vendor1,12326,10000,65.97500625,775
5,vendor2,183880,139904,139.28056875,11233
